Year,Grande Sector ID,Grande Sector,Section ID,Section,Division ID,Division,Number workers
2018,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N78,"Seleção, Agenciamento E Locação De Mão De Obra",0
2018,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N79,"Agências De Viagens, Operadores Turísticos E Serviços De Reservas",6
2018,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N80,"Atividades De Vigilância, Segurança E Investigação",2
2018,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N81,Serviços Para Edifícios E Atividades Paisagísticas,98
2018,4,Serviços,N,Atividades Administrativas E Serviços Complementares,N82,"Serviços De Escritório, De Apoio Administrativo E Outros Serviços Prestados Principalmente Às Empresas",93
2018,4,Serviços,P,Educação,P85,Educação,351
2018,4,Serviços,Q,Saúde Humana E Serviços Sociais,Q86,Atividades De Atenção À Saúde Humana,58
2018,4,Serviços,Q,Saúde Humana E Serviços Sociais,Q87,"Atividades De Atenção À Saúde Humana Integradas Com Assistência Social, Prestadas Em Residências Coletivas E Particulares",14
2018,4,Serviços,Q,Saúde Humana E Serviços Sociais,Q88,Serviços De Assistência Social Sem Alojamento,0
2018,4,Serviços,R,"Artes, Cultura, Esporte E Recreação",R90,"Atividades Artísticas, Criativas E De Espetáculos",0
2018,4,Serviços,R,"Artes, Cultura, Esporte E Recreação",R93,Atividades Esportivas E De Recreação E Lazer,157
2018,4,Serviços,S,Outras Atividades De Serviços,S94,Atividades De Organizações Associativas,91
2018,4,Serviços,S,Outras Atividades De Serviços,S95,Reparação E Manutenção De Equipamentos De Informática E Comunicação E De Objetos Pessoais E Domésticos,4
2018,4,Serviços,S,Outras Atividades De Serviços,S96,Outras Atividades De Serviços Pessoais,47
2018,5,Administração pública,O,"Administração Pública, Defesa E Seguridade Social",O84,"Administração Pública, Defesa E Seguridade Social",1461
2019,1,Agricultura,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",A01,"Agricultura, Pecuária E Serviços Relacionados",172
2019,1,Agricultura,A,"Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura",A02,Produção Florestal,14
2019,2,Indústria,B,Indústrias Extrativas,B08,Extração De Minerais Não Metálicos,16
2019,2,Indústria,C,Indústrias De Transformação,C10,Fabricação De Produtos Alimentícios,494
2019,2,Indústria,C,Indústrias De Transformação,C13,Fabricação De Produtos Têxteis,3
2019,2,Indústria,C,Indústrias De Transformação,C14,Confecção De Artigos Do Vestuário E Acessórios,49
2019,2,Indústria,C,Indústrias De Transformação,C15,"Preparação De Couros E Fabricação De Artefatos De Couro, Artigos Para Viagem E Calçados",0
2019,2,Indústria,C,Indústrias De Transformação,C16,Fabricação De Produtos De Madeira,51
2019,2,Indústria,C,Indústrias De Transformação,C17,"Fabricação De Celulose, Papel E Produtos De Papel",192
2019,2,Indústria,C,Indústrias De Transformação,C18,Impressão E Reprodução De Gravações,6
2019,2,Indústria,C,Indústrias De Transformação,C20,Fabricação De Produtos Químicos,1
2019,2,Indústria,C,Indústrias De Transformação,C21,Fabricação De Produtos Farmoquímicos E Farmacêuticos,585
2019,2,Indústria,C,Indústrias De Transformação,C22,Fabricação De Produtos De Borracha E De Material Plástico,273
2019,2,Indústria,C,Indústrias De Transformação,C23,Fabricação De Produtos De Minerais Não Metálicos,76
2019,2,Indústria,C,Indústrias De Transformação,C24,Metalurgia,0
2019,2,Indústria,C,Indústrias De Transformação,C25,"Fabricação De Produtos De Metal, Exceto Máquinas E Equipamentos",306
2019,2,Indústria,C,Indústrias De Transformação,C26,"Fabricação De Equipamentos De Informática, Produtos Eletrônicos E Ópticos",15
2019,2,Indústria,C,Indústrias De Transformação,C27,"Fabricação De Máquinas, Aparelhos E Materiais Elétricos",331
2019,2,Indústria,C,Indústrias De Transformação,C28,Fabricação De Máquinas E Equipamentos,216
2019,2,Indústria,C,Indústrias De Transformação,C29,"Fabricação De Veículos Automotores, Reboques E Carrocerias",86
2019,2,Indústria,C,Indústrias De Transformação,C31,Fabricação De Móveis,98
2019,2,Indústria,C,Indústrias De Transformação,C32,Fabricação De Produtos Diversos,33
2019,2,Indústria,C,Indústrias De Transformação,C33,"Manutenção, Reparação E Instalação De Máquinas E Equipamentos",109
2019,2,Indústria,E,"Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação",E36,"Captação, Tratamento E Distribuição De Água",7
2019,2,Indústria,E,"Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação",E38,"Coleta, Tratamento E Disposição De Resíduos, Recuperação De Materiais",58
2019,2,Indústria,F,Construção,F41,Construção De Edifícios,145
2019,2,Indústria,F,Construção,F42,Obras De Infraestrutura,1
2019,2,Indústria,F,Construção,F43,Serviços Especializados Para Construção,49
2019,3,Comércio,G,"Comércio, Reparação De Veículos Automotores E Motocicletas",G45,Comércio E Reparação De Veículos Automotores E Motocicletas,110
2019,3,Comércio,G,"Comércio, Reparação De Veículos Automotores E Motocicletas",G46,"Comércio Por Atacado, Exceto Veículos Automotores E Motocicletas",143
2019,3,Comércio,G,"Comércio, Reparação De Veículos Automotores E Motocicletas",G47,Comércio Varejista,1694
2019,4,Serviços,H,"Transporte, armazenagem e correio",H49,Transporte Terrestre,91
2019,4,Serviços,H,"Transporte, armazenagem e correio",H52,Armazenamento E Atividades Auxiliares Dos Transportes,25
2019,4,Serviços,H,"Transporte, armazenagem e correio",H53,Correio E Outras Atividades De Entrega,42
2019,4,Serviços,H,"Transporte, armazenagem e correio",H55,Alojamento,4
2019,4,Serviços,I,Alojamento E Alimentação,I56,Alimentação,109
2019,4,Serviços,J,Informação E Comunicação,J58,Edição E Edição Integrada À Impressão,0
2019,4,Serviços,J,Informação E Comunicação,J59,"Atividades Cinematográficas, Produção De Vídeos E De Programas De Televisão, Gravação De Som E Edição De Música",0
2019,4,Serviços,J,Informação E Comunicação,J61,Telecomunicações,34
2019,4,Serviços,J,Informação E Comunicação,J62,Atividades Dos Serviços De Tecnologia Da Informação,0
2019,4,Serviços,J,Informação E Comunicação,J63,Atividades De Prestação De Serviços De Informação,0
